ensemble_geneid	gene_name	Cow_ESF1	Cow_ESF2	Cow_SF1	Cow_SF2	Cow_SF3
ENSBTAG00000023795	VAC14	14.302343207076	13.4407478054335	20.5897288794877	21.6492164492979	23.4203402299922
ENSBTAG00000023797	PRDM12	71.4589187989244	52.3864497092519	0	0	0
ENSBTAG00000023801	BARHL1	0	0	0	0	0
ENSBTAG00000023806		0.0210105156937402	0	2.10027735040936	2.01066597929637	1.65789534413187
ENSBTAG00000023814	ECT2	69.1268752596171	72.109037515545	6.98956716117659	7.61236322898186	6.65604245762601
ENSBTAG00000023820		0	0	0	0	0
ENSBTAG00000023823		0	0	0	0	0
ENSBTAG00000023831	ELP4	9.346919853782	9.75628426425634	10.3871683170609	11.2031398290088	9.49222228546676
ENSBTAG00000023832	ADAM8	2.02919603404557	3.01791823538255	3.69717176595863	3.5635360605205	3.63641505511678
ENSBTAG00000023840		10.9980182840109	13.680904058036	16.7114466716797	17.6026071072686	19.9814419939349
ENSBTAG00000023843	RALGPS1	0.307934304183934	0.517068269191963	2.60055531420838	2.08437296304307	2.36754074478785
ENSBTAG00000023845		6.99159733766747	7.09013795018649	11.4407647063347	12.2851528769531	11.3644451340058
ENSBTAG00000023846		7.2809038085621	8.47533091365008	12.4274135953325	11.1653725147746	14.0196433919123
ENSBTAG00000023847	IKZF5	13.1003022284943	12.6400379982159	22.7868210161862	22.8624931608635	23.284121642574
ENSBTAG00000023851	FAM102A	3.41584431267386	4.0094347935984	11.5458033485965	12.0754911146633	14.4263045490425
ENSBTAG00000023860		0	0	0	0	0
ENSBTAG00000023867	RC3H2	21.2391710792514	21.5893242594332	39.037435388821	39.128316823234	43.1876345423193
ENSBTAG00000023885	ZNF79	10.1766406705756	11.3104740593851	10.9056282730766	12.250981362758	12.8024927882824
ENSBTAG00000023891	RBM20	0	0	0.0251798134031514	0.238703048258261	0
ENSBTAG00000023907	COL18A1	72.5001953151312	64.7885936603045	9.46275912495554	9.90778255130405	7.92776543988614
ENSBTAG00000023912		0	0	0	0	0
ENSBTAG00000023918		0	0	0	0	0
ENSBTAG00000023920	GPR158	0	0	0	0	0
ENSBTAG00000023928	RDH14	24.7665072607217	23.1569629621577	30.423816923415	31.3456905212811	25.7090503499367
ENSBTAG00000023929	FOSL2	141.540247592236	149.106014652791	230.893608937851	216.804667759694	210.986343258455
ENSBTAG00000023933	SEC16A	27.1616808699754	25.6589796499948	35.9124527171502	33.761735836527	34.8624472684753
ENSBTAG00000023938		96.3379722716887	96.5117447744258	0.651132336573219	0.320659408858385	0.277958794535569
ENSBTAG00000023939		0.110706503129638	0.0464732405448527	0.143102209603969	0.258399990787624	0.223990152676516
ENSBTAG00000023941	CPN1	0.30910579338521	0.0865058961228664	0	0	0
ENSBTAG00000023947	AVPI1	121.771278192285	106.109876730973	107.463358327584	90.5820286129469	86.2843946833493
ENSBTAG00000023954		0.139400651919057	0.253581009223387	0.480514772444025	0.325374988399857	0.517085110422224
ENSBTAG00000023955		0	0	0	0	0
ENSBTAG00000023963	RHBDD1	13.1752799638935	12.6825580036868	36.0624132523035	33.9798951188991	34.6808422917366
ENSBTAG00000023964		0	0	0	0.266572279652847	0
ENSBTAG00000023970		0.741853904124304	1.31488962107087	1.5627176077717	1.15437387189099	1.6677527672114
ENSBTAG00000023976	ARHGAP25	0.08391806120664	0.299436122913095	0	0	0
ENSBTAG00000023978		2.04404190414246	1.84483733186789	2.55411086592467	4.05534756431447	2.68818370564591
ENSBTAG00000023986		0.604343794386629	0.281884620188403	0.347196033926922	0.31346634065407	0.407585387028365
ENSBTAG00000023987	LRIT2	0	0	0	0	0
ENSBTAG00000023989	MSANTD4	13.1979489221048	14.0123348741751	22.0666783948635	23.3457400626152	21.4343542433277
ENSBTAG00000023997	VAMP8	56.1850202652988	57.0986171046162	80.0264905997956	72.1177121482262	67.7527725095655
ENSBTAG00000023998		0	0	0	0	0
ENSBTAG00000023999	GTF2A1L	0.0423180550467309	0	1.53164083716866	1.18529460060236	1.28431853725005
ENSBTAG00000024000	ATOH8	14.7338355036296	14.7000844325474	65.3335729334484	63.1044167643741	64.8309526408967
ENSBTAG00000024003		0	0	0	0	0
ENSBTAG00000024015	PTPRM	37.4294621845553	34.2834558244516	40.0488946651387	39.3534388356069	40.2916168433878
ENSBTAG00000024019		0	0	0	0	0
ENSBTAG00000024021		0	0	0	0	0
ENSBTAG00000024027	TRMT10C	15.2435733723745	13.6797817101777	26.3307213364479	27.4361461332279	26.2499716373972
ENSBTAG00000024041		0	0	0	0	0
ENSBTAG00000024042	MORN2	21.1277201221761	19.1603780453138	31.9579981573226	35.5811319602976	31.0233383092384
ENSBTAG00000024044	CDKL4	13.9461109249327	13.9788910639007	9.89243256297582	11.4041355400694	8.82977028045958
ENSBTAG00000024058	EGR4	0	0	0	0	0
ENSBTAG00000024061	NOTO	0	0	0	0	0
ENSBTAG00000024065	TAS2R38	0	0	0	0	0
ENSBTAG00000024075	SLC9A4	0	0	0	0	0
ENSBTAG00000024080		0	0	0	0	0
ENSBTAG00000024081	ECM2	20.9376715431736	25.8652629407331	184.559915675551	201.256944747946	214.869784406063
ENSBTAG00000024086	TMEM35B	36.6483795676445	37.5146164241992	33.282346617778	31.7488576042196	35.5063944157222
ENSBTAG00000024091	MALL	0	0	0	0	0
ENSBTAG00000024095	THRAP3	116.839360932776	124.79057032258	118.51503113752	116.251150909773	117.935816146064
ENSBTAG00000024096	LSM10	15.9857078945751	16.6705563605468	17.4008899843937	20.5544578470835	18.0442954724505
ENSBTAG00000024097		47.6739574734951	48.4203805212787	41.7074580066466	40.0795667239487	39.873100554208
