ensemble_geneid	gene_name	GuineaPig_ESF1	GuineaPig_ESF2	GuineaPig_ESF3	GuineaPig_SF1	GuineaPig_SF2	GuineaPig_SF3
ENSCPOG00000026109	SLTM	23.1608297075566	21.7704204598017	21.114545472448	20.5670419563275	21.005789213348	22.9518865670191
ENSCPOG00000026110	Cavporv1r667	0	0	0	0	0	0
ENSCPOG00000026111	LDOC1	10.5158838431943	10.3247251503158	8.66546492086949	6.26948390683566	5.57324141640698	8.27424568862031
ENSCPOG00000026112	ELANE	0	0.265161480586235	0	0	0	0.234869185720699
ENSCPOG00000026114	ASPG	0.0611783804710687	0	0.206959356800782	0	0.0549789982620104	0.0988078874802154
ENSCPOG00000026115	RASAL1	0.120135763630879	0.0438107149236018	0	0.0698333603483139	0.0431848237173665	0.0776114759745279
ENSCPOG00000026116		5.1389839595728	1.04114875465347	3.21936777246361	6.91487195605976	5.81555626060521	7.99246023173333
ENSCPOG00000026119	PIH1D1	27.352973041827	31.6280240245455	37.9155231263511	40.331525338786	48.6828008619149	41.5912165270495
ENSCPOG00000026120		0	0	0.041724969859021	0	0	0
ENSCPOG00000026122	RND3	108.718060655714	97.0945581483167	99.8529620527316	228.580265296789	197.966282503817	204.639604218719
ENSCPOG00000026125	IL9R	0.0831432094338966	0	0.0703159556296917	0.0604125858260347	0	0
ENSCPOG00000026126	GATA6	28.5890203534679	31.8227829975843	42.3401988238901	1.49759076199163	1.01573071674879	1.12749274343899
ENSCPOG00000026128	SCGB3A1	0	0	0	0	0	0
ENSCPOG00000026130	CD300LG	0	0.204618830394872	0	0	0	0
ENSCPOG00000026132	CRAT	23.3153052158654	27.8337088126274	29.6952018743969	25.6478887097822	27.3247667364435	27.2043696072804
ENSCPOG00000026134	YIPF2	99.7814853752113	135.864954631119	130.828974143478	153.512791661441	109.443230199176	138.559398478394
ENSCPOG00000026135		0.0361525873422899	0	0	0	0	0
ENSCPOG00000026136		0	0	0	0	0	0
ENSCPOG00000026141	CCDC88B	0	0	0	0.0197153581976028	0	0.0438225524720145
ENSCPOG00000026143	ARHGAP4	0.0206751218347087	0	0	0.0600909000654701	0.185800519508133	0.133567779739145
ENSCPOG00000026144	BOK	25.5257351407762	22.2882955626192	22.7025045879614	19.156756381979	15.5081500282515	23.8066016303929
ENSCPOG00000026146	IRF3	64.2117220926803	64.2840030113404	54.7027488619722	80.6076502307119	48.1578750878228	71.5927342009611
ENSCPOG00000026148		0	0	0	0	0	0
ENSCPOG00000026149	SLPI	109.185162956805	114.448081150648	110.610699045543	135.972378415217	119.896656139668	231.980118142779
ENSCPOG00000026152		0	0	0	0	0	0
ENSCPOG00000026153	HS3ST1	4.1293140952012	5.73127600180595	6.8802488394322	6.44861201845921	3.1016300056503	9.75490018027126
ENSCPOG00000026154	NEK7	57.7649846090972	43.0999052891476	46.8943276160968	57.4152736731182	61.7061127440981	48.5177930018558
ENSCPOG00000026156	KCNS2	0.0868632635473239	0	0	0.126231219600642	0	0.0701454950643147
ENSCPOG00000026157		0	0	0	0	0	0
ENSCPOG00000026158	IL1A	0	0.148735536379217	0	0.948325296831505	0	1.58092619968526
ENSCPOG00000026159	FES	4.58351350548504	4.72570856253404	3.69371714017009	6.66084229656473	8.23810565469327	5.96869664923616
ENSCPOG00000026160		0	0	0	0	0	0
ENSCPOG00000026161	SLC25A27	4.07453049195011	5.02579213666066	3.44591587497062	2.78643729192319	3.7693420207586	3.38711811814754
ENSCPOG00000026162	FOXN2	4.56001832484571	5.59799051339646	4.4292511027639	6.16742254090864	5.11227968955001	6.05225119158032
ENSCPOG00000026165		0.0640724072700912	0.0389428577097988	0.108374756697107	0.155185245218727	0.153546039884067	0.06898797864405
ENSCPOG00000026167	NHLRC1	5.22934394688401	5.601871077231	7.07610532613271	5.31956210276965	4.22949546226032	3.58946543429915
ENSCPOG00000026168		0	0	0	0	0	0
ENSCPOG00000026169	C1orf54	0	0.544600887049429	0	0.217020596774471	0	0
